"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "MDX", "JSON", "JSON with Comments", "SVG", "YAML", "Markdown", "Docker", "Prisma", "SQL", "TOML", "SCSS", "CSS", "Shell Script", "comment", "blank", "total"
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ImageAttachmentButton/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/NavigationalTabs/NavigationalTab.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 45
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/NavigationalTabs/NavigationalTabList.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 37
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/NavigationalTabs/index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/PageEditor/ComponentSelector.tsx", "TypeScript JSX", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 252
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/PageEditor/MenuBar.tsx", "TypeScript JSX", 456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 18, 487
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/PageEditor/MenuItem.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 70
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/PageEditor/types.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ResponsiveButton.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ResponsiveModal.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/ResponsiveModalButtonGroup.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RestrictedMiniFooter.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RichText/RichText.tsx", "TypeScript JSX", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 172
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RichText/RichTextMenu.tsx", "TypeScript JSX", 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 201
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RichText/constants.tsx", "TypeScript JSX", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/RichText/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Suspense.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 24
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Svg/BusStop.tsx", "TypeScript JSX", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 137
"/Users/harishv/Documents/Code/isomer/isomer-next/isomer/apps/studio/src/components/Svg/OgpLogo.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
